Game,Number,Times Drawn,Pool,Drawings,Expected,Lower Band,Upper Band,Deviation,Percent From Expected,Within Chance Band
Pick 10,55,3328,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-64.5,-1.9012527634487841,True
Pick 10,56,3356,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-36.5,-1.0759027266028003,True
Pick 10,57,3462,80,13570,3392.5,3241.1746055680014,3543.8253944319986,69.5,2.0486366985998523,True
Pick 10,58,3541,80,13570,3392.5,3241.1746055680014,3543.8253944319986,148.5,4.377302873986736,True
Pick 10,59,3374,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-18.5,-0.5453205600589536,True
Pick 10,60,3379,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-13.5,-0.397936624907885,True
Pick 10,61,3384,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-8.5,-0.2505526897568165,True
Pick 10,62,3450,80,13570,3392.5,3241.1746055680014,3543.8253944319986,57.5,1.694915254237288,True
Pick 10,63,3421,80,13570,3392.5,3241.1746055680014,3543.8253944319986,28.5,0.8400884303610906,True
Pick 10,64,3403,80,13570,3392.5,3241.1746055680014,3543.8253944319986,10.5,0.30950626381724394,True
Pick 10,65,3352,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-40.5,-1.1938098747236552,True
Pick 10,66,3330,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-62.5,-1.8422991893883567,True
Pick 10,67,3309,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-83.5,-2.4613117170228445,True
Pick 10,68,3453,80,13570,3392.5,3241.1746055680014,3543.8253944319986,60.5,1.7833456153279292,True
Pick 10,69,3401,80,13570,3392.5,3241.1746055680014,3543.8253944319986,8.5,0.2505526897568165,True
Pick 10,70,3325,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-67.5,-1.989683124539425,True
Pick 10,71,3344,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-48.5,-1.4296241709653648,True
Pick 10,72,3448,80,13570,3392.5,3241.1746055680014,3543.8253944319986,55.5,1.6359616801768606,True
Pick 10,73,3349,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-43.5,-1.2822402358142961,True
Pick 10,74,3425,80,13570,3392.5,3241.1746055680014,3543.8253944319986,32.5,0.9579955784819455,True
Pick 10,75,3292,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-100.5,-2.962417096536478,True
Pick 10,76,3394,80,13570,3392.5,3241.1746055680014,3543.8253944319986,1.5,0.04421518054532056,True
Pick 10,77,3339,80,13570,3392.5,3241.1746055680014,3543.8253944319986,-53.5,-1.5770081061164332,True
Pick 10,78,3469,80,13570,3392.5,3241.1746055680014,3543.8253944319986,76.5,2.2549742078113484,True
Pick 10,79,3407,80,13570,3392.5,3241.1746055680014,3543.8253944319986,14.5,0.42741341193809873,True
Pick 10,80,3438,80,13570,3392.5,3241.1746055680014,3543.8253944319986,45.5,1.3411938098747236,True
Powerball,1,72,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-2.3478260869565304,-3.1578947368421164,True
Powerball,2,76,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,1.6521739130434696,2.2222222222222103,True
Powerball,3,81,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,6.65217391304347,8.94736842105262,True
Powerball,4,66,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-8.34782608695653,-11.228070175438607,True
Powerball,5,63,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-11.34782608695653,-15.263157894736851,True
Powerball,6,76,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,1.6521739130434696,2.2222222222222103,True
Powerball,7,68,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-6.34782608695653,-8.538011695906443,True
Powerball,8,67,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-7.34782608695653,-9.883040935672526,True
Powerball,9,67,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-7.34782608695653,-9.883040935672526,True
Powerball,10,75,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,0.6521739130434696,0.8771929824561286,True
Powerball,11,72,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-2.3478260869565304,-3.1578947368421164,True
Powerball,12,78,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,3.6521739130434696,4.912280701754374,True
Powerball,13,55,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-19.34782608695653,-26.023391812865505,True
Powerball,14,69,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-5.34782608695653,-7.192982456140362,True
Powerball,15,72,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-2.3478260869565304,-3.1578947368421164,True
Powerball,16,76,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,1.6521739130434696,2.2222222222222103,True
Powerball,17,75,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,0.6521739130434696,0.8771929824561286,True
Powerball,18,72,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-2.3478260869565304,-3.1578947368421164,True
Powerball,19,78,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,3.6521739130434696,4.912280701754374,True
Powerball,20,79,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,4.65217391304347,6.257309941520456,True
Powerball,21,93,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,18.65217391304347,25.0877192982456,True
Powerball,22,73,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-1.3478260869565304,-1.8128654970760347,True
Powerball,23,86,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,11.65217391304347,15.672514619883026,True
Powerball,24,75,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,0.6521739130434696,0.8771929824561286,True
Powerball,25,68,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-6.34782608695653,-8.538011695906443,True
Powerball,26,61,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-13.34782608695653,-17.953216374269015,True
Powerball,27,89,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,14.65217391304347,19.707602339181275,True
Powerball,28,83,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,8.65217391304347,11.637426900584783,True
Powerball,29,62,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-12.34782608695653,-16.608187134502934,True
Powerball,30,72,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-2.3478260869565304,-3.1578947368421164,True
Powerball,31,67,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-7.34782608695653,-9.883040935672526,True
Powerball,32,89,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,14.65217391304347,19.707602339181275,True
Powerball,33,83,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,8.65217391304347,11.637426900584783,True
Powerball,34,62,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-12.34782608695653,-16.608187134502934,True
Powerball,35,64,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-10.34782608695653,-13.91812865497077,True
Powerball,36,89,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,14.65217391304347,19.707602339181275,True
Powerball,37,82,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,7.65217391304347,10.2923976608187,True
Powerball,38,72,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-2.3478260869565304,-3.1578947368421164,True
Powerball,39,84,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,9.65217391304347,12.982456140350864,True
Powerball,40,74,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-0.3478260869565304,-0.46783625730995304,True
Powerball,41,73,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-1.3478260869565304,-1.8128654970760347,True
Powerball,42,72,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-2.3478260869565304,-3.1578947368421164,True
Powerball,43,67,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-7.34782608695653,-9.883040935672526,True
Powerball,44,79,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,4.65217391304347,6.257309941520456,True
Powerball,45,72,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-2.3478260869565304,-3.1578947368421164,True
Powerball,46,63,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-11.34782608695653,-15.263157894736851,True
Powerball,47,82,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,7.65217391304347,10.2923976608187,True
Powerball,48,64,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-10.34782608695653,-13.91812865497077,True
Powerball,49,58,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-16.34782608695653,-21.98830409356726,True
Powerball,50,75,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,0.6521739130434696,0.8771929824561286,True
Powerball,51,65,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-9.34782608695653,-12.57309941520469,True
Powerball,52,72,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-2.3478260869565304,-3.1578947368421164,True
Powerball,53,80,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,5.65217391304347,7.602339181286537,True
Powerball,54,74,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-0.3478260869565304,-0.46783625730995304,True
Powerball,55,68,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-6.34782608695653,-8.538011695906443,True
Powerball,56,74,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-0.3478260869565304,-0.46783625730995304,True
Powerball,57,70,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-4.34782608695653,-5.84795321637428,True
Powerball,58,68,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-6.34782608695653,-8.538011695906443,True
Powerball,59,82,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,7.65217391304347,10.2923976608187,True
Powerball,60,65,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-9.34782608695653,-12.57309941520469,True
Powerball,61,97,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,22.65217391304347,30.467836257309926,True
Powerball,62,84,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,9.65217391304347,12.982456140350864,True
Powerball,63,92,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,17.65217391304347,23.742690058479518,True
Powerball,64,84,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,9.65217391304347,12.982456140350864,True
Powerball,65,68,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,-6.34782608695653,-8.538011695906443,True
Powerball,66,75,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,0.6521739130434696,0.8771929824561286,True
Powerball,67,77,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,2.6521739130434696,3.567251461988292,True
Powerball,68,79,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,4.65217391304347,6.257309941520456,True
Powerball,69,86,69,1026,74.34782608695653,49.435124063346116,99.26052811056695,11.65217391304347,15.672514619883026,True
