Game,Year,Number,Times Drawn
Pick 10,1989,17,103
Pick 10,1989,18,97
Pick 10,1989,19,95
Pick 10,1989,20,101
Pick 10,1989,21,86
Pick 10,1989,22,79
Pick 10,1989,23,77
Pick 10,1989,24,101
Pick 10,1989,25,86
Pick 10,1989,26,88
Pick 10,1989,27,89
Pick 10,1989,28,84
Pick 10,1989,29,85
Pick 10,1989,30,88
Pick 10,1989,31,94
Pick 10,1989,32,106
Pick 10,1989,33,75
Pick 10,1989,34,83
Pick 10,1989,35,87
Pick 10,1989,36,84
Pick 10,1989,37,103
Pick 10,1989,38,100
Pick 10,1989,39,87
Pick 10,1989,40,90
Pick 10,1989,41,94
Pick 10,1989,42,95
Pick 10,1989,43,99
Pick 10,1989,44,91
Pick 10,1989,45,100
Pick 10,1989,46,94
Pick 10,1989,47,89
Pick 10,1989,48,80
Pick 10,1989,49,82
Pick 10,1989,50,89
Pick 10,1989,51,96
Pick 10,1989,52,90
Pick 10,1989,53,96
Pick 10,1989,54,95
Pick 10,1989,55,69
Pick 10,1989,56,79
Pick 10,1989,57,96
Pick 10,1989,58,86
Pick 10,1989,59,94
Pick 10,1989,60,86
Pick 10,1989,61,98
Pick 10,1989,62,96
Pick 10,1989,63,96
Pick 10,1989,64,90
Pick 10,1989,65,95
Pick 10,1989,66,92
Pick 10,1989,67,81
Pick 10,1989,68,105
Pick 10,1989,69,76
Pick 10,1989,70,80
Pick 10,1989,71,91
Pick 10,1989,72,100
Pick 10,1989,73,104
Pick 10,1989,74,84
Pick 10,1989,75,80
Pick 10,1989,76,85
Pick 10,1989,77,100
Pick 10,1989,78,103
Pick 10,1989,79,96
Pick 10,1989,80,82
Pick 10,1990,1,96
Pick 10,1990,2,93
Pick 10,1990,3,92
Pick 10,1990,4,89
Pick 10,1990,5,82
Pick 10,1990,6,97
Pick 10,1990,7,87
Pick 10,1990,8,95
Pick 10,1990,9,98
Pick 10,1990,10,86
Pick 10,1990,11,80
Pick 10,1990,12,87
Pick 10,1990,13,78
Pick 10,1990,14,91
Pick 10,1990,15,99
Pick 10,1990,16,88
Pick 10,1990,17,87
Pick 10,1990,18,97
Pick 10,1990,19,100
Pick 10,1990,20,86
Pick 10,1990,21,104
Pick 10,1990,22,79
Pick 10,1990,23,101
Pick 10,1990,24,88
Pick 10,1990,25,91
Pick 10,1990,26,90
Pick 10,1990,27,84
Pick 10,1990,28,78
Pick 10,1990,29,84
Pick 10,1990,30,86
Pick 10,1990,31,97
Pick 10,1990,32,84
Pick 10,1990,33,91
Pick 10,1990,34,97
Pick 10,1990,35,79
Pick 10,1990,36,95
Pick 10,1990,37,89
Pick 10,1990,38,94
Pick 10,1990,39,97
Pick 10,1990,40,89
Pick 10,1990,41,109
Pick 10,1990,42,94
Pick 10,1990,43,92
Pick 10,1990,44,92
Pick 10,1990,45,92
Pick 10,1990,46,89
Pick 10,1990,47,84
Pick 10,1990,48,91
Pick 10,1990,49,87
Pick 10,1990,50,95
Pick 10,1990,51,82
Pick 10,1990,52,73
Pick 10,1990,53,88
Pick 10,1990,54,101
Pick 10,1990,55,104
Pick 10,1990,56,88
Pick 10,1990,57,88
Pick 10,1990,58,108
Pick 10,1990,59,85
Pick 10,1990,60,81
Pick 10,1990,61,94
Pick 10,1990,62,97
Pick 10,1990,63,96
Pick 10,1990,64,89
Pick 10,1990,65,98
Pick 10,1990,66,92
Pick 10,1990,67,95
Pick 10,1990,68,102
Pick 10,1990,69,91
Pick 10,1990,70,78
Pick 10,1990,71,94
Pick 10,1990,72,88
Pick 10,1990,73,88
Pick 10,1990,74,97
Pick 10,1990,75,97
Pick 10,1990,76,97
Pick 10,1990,77,83
Pick 10,1990,78,86
Pick 10,1990,79,103
Pick 10,1990,80,87
Pick 10,1991,1,84
Pick 10,1991,2,91
Pick 10,1991,3,87
Pick 10,1991,4,106
Pick 10,1991,5,82
Pick 10,1991,6,95
Pick 10,1991,7,88
Pick 10,1991,8,91
Pick 10,1991,9,80
Pick 10,1991,10,84
Pick 10,1991,11,89
Pick 10,1991,12,84
Pick 10,1991,13,82
Pick 10,1991,14,87
Pick 10,1991,15,104
Pick 10,1991,16,94
Pick 10,1991,17,83
Pick 10,1991,18,110
Pick 10,1991,19,84
Pick 10,1991,20,100
Pick 10,1991,21,91
Pick 10,1991,22,80
Pick 10,1991,23,98
Pick 10,1991,24,88
Pick 10,1991,25,78
Pick 10,1991,26,101
